DictionaryTrie
1000	1072
11000	2141
21000	3207
31000	4345
41000	5449
51000	6545
61000	7645
71000	8705
81000	9821
91000	10912
101000	11976
111000	13069
121000	15132
131000	17176
141000	19324
151000	21481
161000	23857
171000	26207
181000	28686
191000	31226
201000	33717
211000	36192
221000	38755
231000	41313
241000	43850
251000	46467
261000	49009
271000	51552
281000	54168
291000	56813
301000	59423
311000	62102
321000	64736
331000	67361
341000	70047
351000	72884
361000	75621
371000	78284
381000	81061
391000	83788
401000	86587
411000	89447
421000	92364
431000	95123
441000	97842
451000	100242
461000	102614
471000	105002
481000	107687
491000	110634
501000	113567
511000	117261
521000	120921
531000	124976
541000	130365
551000	134323
561000	140698
571000	144760
581000	149019
591000	155737
601000	162951
611000	169579
621000	173971
631000	178266
641000	182893
651000	187310
661000	191681
671000	195964
681000	200753
691000	205067
701000	209373
711000	213578
721000	218387
731000	222574
741000	227153
751000	231226
761000	235425
771000	240389
781000	245122
791000	250358
801000	255781
811000	261030
821000	266609
831000	272046
841000	277300
851000	283019
861000	290671
871000	296173
881000	302023
891000	308277
901000	314284
911000	320645
921000	327068
931000	333237
941000	338752
951000	344194
961000	350372
971000	356963
981000	362742
991000	368286
1001000	375158
1011000	381773
1021000	387572
1031000	393209
1041000	398876
1051000	404582
1061000	410154
1071000	416173
1081000	424103
1091000	434101
1101000	440875
1111000	447836
1121000	455204
1131000	462007
1141000	469063
1151000	475575
1161000	481735
1171000	488660
1181000	495253
1191000	501907
1201000	508629
1211000	515076
1221000	521385
1231000	527947
1241000	533970
1251000	540417
1261000	546818
1271000	553244
1281000	559566
1291000	565577
1301000	571578
1311000	577690
1321000	583809
1331000	589999
1341000	597087
1351000	603425
1361000	609614
1371000	616429
1381000	623264
1391000	629498
1401000	635591
1411000	642540
1421000	649107
1431000	657235
1441000	663796
1451000	669987
1461000	676261
1471000	683031
1481000	689461
1491000	695956

DictionaryHashtable
1000	1638
11000	3262
21000	4848
31000	6296
41000	7866
51000	9623
61000	11394
71000	13110
81000	14829
91000	16685
101000	18579
111000	20538
121000	23210
131000	25035
141000	26907
151000	28827
161000	30674
171000	32700
181000	34610
191000	37505
201000	39387
211000	41325
221000	43207
231000	45183
241000	47127
251000	49070
261000	50876
271000	52584
281000	54293
291000	55942
301000	57575
311000	59186
321000	60810
331000	62447
341000	64070
351000	65766
361000	67799
371000	69638
381000	71577
391000	73513
401000	75555
411000	77610
421000	79627
431000	81619
441000	83714
451000	85686
461000	87731
471000	89777
481000	91875
491000	93954
501000	95922
511000	97902
521000	99847
531000	101820
541000	103592
551000	105404
561000	107238
571000	109010
581000	110810
591000	112557
601000	114467
611000	116531
621000	118634
631000	120725
641000	122764
651000	124986
661000	127080
671000	129050
681000	131049
691000	133086
701000	135171
711000	137360
721000	139481
731000	141615
741000	143764
751000	145916
761000	148020
771000	150056
781000	152108
791000	154146
801000	156223
811000	158515
821000	160606
831000	162704
841000	164793
851000	166910
861000	168933
871000	170966
881000	172997
891000	174980
901000	176972
911000	179018
921000	181081
931000	183153
941000	185200
951000	187290
961000	189249
971000	191214
981000	193173
991000	195081
1001000	197019
1011000	198864
